Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
SRR14862052_1	0.0	39.9991731	41.2374446497	26918612.0	46.0
SRR14862052_1_unpaired	0.0	39.9975666611	8.6226684236	273698.0	45.0
SRR14862052_2	10.0	39.9999479914	41.6401723351	26918612.0	46.0
SRR14862052_2_unpaired	40.0	40.0	12.5564681725	9740.0	48.0
SRR14862053_1	0.0	39.9991241314	38.6560490169	31294648.0	45.0
SRR14862053_1_unpaired	0.0	39.9972511977	7.53544812795	308498.0	45.0
SRR14862053_2	10.0	39.9999487452	39.058501045	31294648.0	45.0
SRR14862053_2_unpaired	40.0	40.0	11.4419630549	10881.0	46.0
SRR14862054_1	0.0	39.9991124359	38.9848366966	36258791.0	45.0
SRR14862054_1_unpaired	0.0	39.9977354327	8.08404964829	364308.0	45.0
SRR14862054_2	10.0	39.9999497777	39.7398374072	36258791.0	46.0
SRR14862054_2_unpaired	30.0	40.0	8.69124968357	11851.0	46.0
SRR14862055_1	0.0	39.9991180304	39.7849325197	31646215.0	45.0
SRR14862055_1_unpaired	0.0	39.9977594672	7.91514451339	326708.0	45.0
SRR14862055_2	10.0	39.9999501994	40.0064630116	31646215.0	46.0
SRR14862055_2_unpaired	40.0	40.0	9.90543043775	10257.0	47.0
SRR14862056_1	0.0	39.9991182165	41.5147467924	31849087.0	44.0
SRR14862056_1_unpaired	0.0	39.9977451513	7.39991355271	334834.0	43.0
SRR14862056_2	10.0	39.9999483188	42.3242400555	31849087.0	45.0
SRR14862056_2_unpaired	30.0	40.0	9.4590664534	13754.0	42.0
SRR14862057_1	0.0	39.9991146427	36.4809095973	32916654.0	43.0
SRR14862057_1_unpaired	0.0	39.9972377714	5.53713874099	327634.0	43.0
SRR14862057_2	10.0	39.9999496607	36.951205333	32916654.0	43.0
SRR14862057_2_unpaired	30.0	40.0	8.91563906831	10218.0	44.0
SRR14862058_1	0.0	39.9991166889	45.6561882948	32894412.0	45.0
SRR14862058_1_unpaired	0.0	39.9976591732	10.4202763014	336206.0	45.0
SRR14862058_2	10.0	39.9999483195	46.5010179943	32894412.0	46.0
SRR14862058_2_unpaired	40.0	39.9999033443	11.2023970617	10346.0	47.0
SRR14862059_1	0.0	39.9991181288	40.4288295333	31758607.0	45.0
SRR14862059_1_unpaired	0.0	39.9978846528	8.54953728688	329024.0	45.0
SRR14862059_2	10.0	39.9999505016	40.9354408722	31758607.0	46.0
SRR14862059_2_unpaired	30.0	40.0	9.62749685082	11114.0	45.0
SRR14862060_1	0.0	39.9991124382	36.5075627198	31262049.0	45.0
SRR14862060_1_unpaired	0.0	39.9975724775	7.49121624599	315960.0	45.0
SRR14862060_2	10.0	39.9999494275	37.0286271719	31262049.0	45.0
SRR14862060_2_unpaired	40.0	39.9998078586	11.4516283985	10409.0	47.0
