"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000223972.5",1,2,1,0,0,2,0,1,2
"ENSG00000227232.5",12,10,17,14,6,3,17,20,16
"ENSG00000278267.1",0,1,1,0,0,0,0,1,1
"ENSG00000243485.5",0,0,0,0,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0
"ENSG00000240361.2",0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0
"ENSG00000238009.6",0,0,0,0,0,0,0,0,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",1,0,0,0,0,0,0,0,0
"ENSG00000268903.1",1,0,1,0,0,0,1,1,4
"ENSG00000269981.1",1,2,1,1,0,2,1,0,0
"ENSG00000239906.1",0,0,0,0,1,0,0,0,0
"ENSG00000241860.7",5,4,3,4,2,3,7,0,2
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0
"ENSG00000279928.2",3,1,4,2,0,0,1,2,2
"ENSG00000279457.4",15,36,40,25,29,15,26,21,33
"ENSG00000273874.1",0,1,1,0,0,0,0,2,0
"ENSG00000228463.10",0,1,1,3,4,2,1,4,5
"ENSG00000286448.1",0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,0,0
"ENSG00000237094.12",5,13,8,10,10,15,11,8,14
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0
"ENSG00000230021.10",0,0,2,1,0,1,0,3,5
"ENSG00000235146.2",0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",3,1,1,5,5,2,1,6,1
"ENSG00000225630.1",1637,1307,1916,1238,1743,1849,1955,1367,1181
"ENSG00000237973.1",198,274,268,210,382,293,271,346,235
"ENSG00000278791.1",0,0,0,0,0,0,0,0,0
"ENSG00000229344.1",9,6,14,10,18,8,14,10,5
"ENSG00000240409.1",0,0,0,0,0,1,0,0,0
"ENSG00000248527.1",2164,1861,2368,1919,2216,2204,2272,1865,1483
"ENSG00000198744.5",4,6,6,2,5,2,8,6,6
"ENSG00000268663.1",0,0,0,0,0,0,0,1,0
"ENSG00000284662.1",0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",2,2,4,2,3,2,2,3,3
"ENSG00000228327.3",34,26,49,39,35,40,42,36,45
"ENSG00000223181.1",0,1,2,0,0,0,1,2,0
