"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.5",12.6249907272425,-0.396606203240784,0.580180755448514,-0.683590759459409,0.49423362133507,0.715148986288838
"ENSG00000241860.7",3.31985250892404,-1.14638511490901,0.920598581351729,-1.24526057081878,0.213035984148985,NA
"ENSG00000279928.2",1.65540041683566,-0.200330448220053,1.31758197071304,-0.152044011433793,0.879152223050557,NA
"ENSG00000279457.4",26.0735235180315,0.277996700924537,0.395108121097572,0.703596524800069,0.481684076178626,0.705942859466322
"ENSG00000228463.10",2.29528381411303,0.915243224649978,1.24958063413182,0.732440308092539,0.463899863839014,NA
"ENSG00000237094.12",10.2517409138283,0.392716263590434,0.543958518653942,0.721959947538341,0.47031910274587,0.696214427056427
"ENSG00000230021.10",1.29875535893977,2.78047864958769,1.816739430273,1.5304774054306,0.125898602023785,NA
"ENSG00000225972.1",2.78901985719123,-1.32541835759158,1.16260484479982,-1.14004200440073,0.254268801856804,NA
"ENSG00000225630.1",1552.53655850939,-0.126371934568017,0.191803355900864,-0.658861957729948,0.50998441666885,0.727704233048869
"ENSG00000237973.1",270.868056242886,0.0893810672754522,0.165552457161286,0.539895745481895,0.589268932124279,0.78225450739498
"ENSG00000229344.1",10.2361863129963,-0.445156224694449,0.570974081856287,-0.779643487927169,0.435600750939163,0.669046514462075
"ENSG00000248527.1",2012.75868896291,-0.23356740364633,0.155300415360302,-1.50397153223605,0.1325886968763,0.344099643160126
"ENSG00000198744.5",4.921596483412,-0.133654345997591,0.78619503769654,-0.170001513096779,0.865008946693228,NA
"ENSG00000229376.3",2.50350065607792,0.43267961718105,1.02836185695992,0.420746466093319,0.673940226819677,NA
"ENSG00000228327.3",37.7901272242806,0.0778806805532444,0.277712888525128,0.280435960199224,0.779143051161506,0.893681573034694
"ENSG00000237491.10",64.5878203679347,0.678475020683904,0.236580157027842,2.8678441556874,0.00413279050032148,0.0334881392754725
"ENSG00000230092.7",9.20211858911319,0.0773207004591507,0.549373840147447,0.140743324142261,0.888072718007352,0.952615015472193
"ENSG00000177757.2",17.0809146161632,0.350872485214291,0.426386843740684,0.822897071907971,0.410566527971731,0.647523167220071
"ENSG00000228794.10",411.708172290711,-0.127621864935196,0.123420928002408,-1.03403747647001,0.301118643558299,0.551809280693792
"ENSG00000225880.5",9.6573354855707,0.229278383012867,0.603871738574691,0.379680598323791,0.704182523879005,0.85165033182708
"ENSG00000272438.1",23.3884487784344,0.651785572230986,0.401279930898829,1.62426655818806,0.104318931224417,0.298400960241387
"ENSG00000230699.2",159.412541494046,0.712727492316098,0.274801595199467,2.59360755092692,0.00949748287704767,0.0608961580848643
"ENSG00000223764.2",218.943583685505,0.332020114947427,0.445532557648494,0.745220768376206,0.456138269736019,0.685022179721152
"ENSG00000187634.13",183.358163413017,0.0326210033891859,0.662564028502343,0.049234492042863,0.960732423911703,0.983928853505615
"ENSG00000188976.11",2128.29382462628,-0.16966889866997,0.20297314690862,-0.835917958873431,0.403201058531928,0.641804641951114
"ENSG00000187961.14",256.666447049335,-0.155096826875964,0.488800794737431,-0.31730068474884,0.751015457835116,0.877678090362387
"ENSG00000187583.11",4.18958057722278,0.381652370512364,0.942751533030494,0.404828162183449,0.685603826356831,NA
"ENSG00000272512.1",5.22953735617056,-0.451144591629494,0.911734502458793,-0.494820137236042,0.620727088472125,NA
"ENSG00000188290.11",13.9776131831114,-0.398603711828371,0.637376383389407,-0.625381991263462,0.531720378782856,0.744078311025743
"ENSG00000187608.10",2.44372598381077,-0.155660262841495,1.23550722558238,-0.125988953863156,0.899740668438645,NA
"ENSG00000224969.1",2.84746089908625,0.394087592039442,1.04199694525261,0.378204172128262,0.705278926349549,NA
"ENSG00000188157.15",454.845789746084,-0.012457951888634,0.495734249420406,-0.0251303029863265,0.979951029522619,0.991995779546852
"ENSG00000217801.10",2.6619847773368,0.69058551901199,1.07604700943358,0.641780064400263,0.521015995418924,NA
"ENSG00000131591.18",121.861430227493,-0.162194006566659,0.3337457190841,-0.485980785047277,0.6269807895486,0.806477871582308
"ENSG00000285812.1",42.1517206099245,0.492673763684352,0.287690268519337,1.71251452549998,0.0868018900810778,0.267166096774351
"ENSG00000078808.19",717.799559173926,-0.332260693240298,0.399661300568691,-0.831355682342807,0.405772727125885,0.643483345484604
"ENSG00000176022.7",490.356453145012,-0.250830896662616,0.15251708411501,-1.64460852446845,0.100050567795296,0.291148018023287
"ENSG00000184163.3",1.86845975224347,0.253966747758521,1.48184075401794,0.171385992097938,0.863920268506481,NA
"ENSG00000260179.1",3.98865782430999,0.349056718652701,0.933985324552713,0.373728269038773,0.708606491232721,NA
"ENSG00000160087.21",567.735587722402,-0.188333808045971,0.160834800022142,-1.1709767290415,0.241608131187931,0.486786707050431
"ENSG00000230415.1",8.12650428896442,0.182166837268008,0.607644085120521,0.299792002800252,0.764335815766297,0.885035425299363
"ENSG00000162572.21",27.122386376174,-0.22426819016038,0.360554978078292,-0.622008303298704,0.533936408184706,0.745737034022475
"ENSG00000131584.19",518.343830601564,-0.166269781682543,0.427808994781372,-0.388654244559569,0.697531933901266,0.848032738582862
"ENSG00000169972.12",65.4588612407659,-0.34627444980953,0.399864573276806,-0.865979316376754,0.386501504573204,0.628577414949379
"ENSG00000127054.21",891.454070738205,-0.10769344275704,0.19908706061964,-0.54093642460667,0.588551403654104,0.782202143721258
"ENSG00000240731.1",63.1392715636036,0.276012229143062,0.231015496074694,1.19477798603527,0.232173783469885,0.475373171268934
"ENSG00000224051.7",91.8812144743708,-0.14428561773007,0.323527601914313,-0.445976222357327,0.655614421731191,0.822609278116816
"ENSG00000169962.5",8.72167638003966,0.858511063587477,0.659416352011448,1.30192565132593,0.192941802671239,0.427915991899347
"ENSG00000107404.20",301.518219847836,-0.182986380822344,0.529838065561216,-0.345362843321801,0.72982160735791,0.865657750761088
"ENSG00000162576.17",149.353317989109,-0.523948145021247,0.313716946509381,-1.67013019491307,0.09489360721999,0.281831499335437
"ENSG00000175756.13",412.349528580794,-0.489971409304579,0.509796114822365,-0.961112482144564,0.336495614251788,0.584773792470293
"ENSG00000223663.2",1.53869847855574,0.0850415970621387,1.29907898820497,0.0654629917305081,0.947805371426015,NA
"ENSG00000221978.12",4128.55691277671,0.126998493034855,0.108897898190156,1.16621620017947,0.243527044248764,0.488907330220094
"ENSG00000224870.7",262.014145590202,-0.0215659403316721,0.207611681330995,-0.103876333900931,0.91726748829934,0.965096640885603
"ENSG00000242485.6",768.741011821941,-0.237424878938052,0.12372818163493,-1.91892320569774,0.0549940533292627,0.201282424828199
"ENSG00000272455.1",69.0777944147982,0.147968882780691,0.216490728532852,0.683488312795053,0.494298332762895,0.715148986288838
"ENSG00000235098.9",1.3272517969719,0.223545195817797,1.56889479487747,0.142485778235535,0.886696312080735,NA
"ENSG00000205116.4",1.22193230936533,-0.73357798606359,1.72513268167952,-0.425229893244737,0.670669094491432,NA
"ENSG00000179403.12",38.8701358388132,-0.00221837370641729,0.491798905789055,-0.00451073331051452,0.996400967738393,0.998995558698215
"ENSG00000215915.10",8.14160876751357,-0.393149273320841,0.581085909895978,-0.676576847976264,0.498674472612403,0.718867323920665
"ENSG00000160072.20",535.051360746592,-0.0928031020278911,0.220672368643515,-0.420546997335267,0.674085904197016,0.83371611825588
"ENSG00000284740.1",2.5064907650506,0.521050991097093,1.02074826895766,0.510459833186066,0.609729347916953,NA
"ENSG00000197785.14",199.046499287741,-0.283526042735426,0.494549222047976,-0.5733019689351,0.566440252499304,0.768172015251762
"ENSG00000205090.9",15.486283757756,-0.0985193982221694,0.542616098200878,-0.18156372166035,0.85592512148617,0.936343567435507
"ENSG00000160075.12",1484.32408711151,-0.255500518930923,0.115310867960225,-2.21575401738416,0.0267083532118674,0.126685743090987
"ENSG00000215014.5",18.1223665154667,-0.23921687785537,0.385250248432458,-0.620938932106385,0.534639804142489,0.74631352251727
"ENSG00000228594.4",104.321251954703,-0.219032221968211,0.616894124968992,-0.35505642395155,0.72254732113717,0.861828920370386
"ENSG00000286989.1",8.92866822427796,0.543778406877231,0.643899876148133,0.844507705344134,0.398385759426433,0.637386826084118
"ENSG00000272106.1",100.674568103703,0.0982196293820854,0.20972139025022,0.468333865538937,0.639545854064877,0.813354410424869
"ENSG00000197530.13",107.325085435559,0.299771466063078,0.593656465554988,0.504957805492495,0.613588472185799,0.796922514917936
"ENSG00000248333.9",315.792763893933,-0.320427729243466,0.193916367748452,-1.65240166657373,0.0984526960279224,0.288076928719753
"ENSG00000189339.12",1724.38174089785,-0.0683957751728315,0.156876513266349,-0.43598479943717,0.662847758220483,0.826685336879468
"ENSG00000269737.2",114.525689337792,0.242068778227037,0.224883276892502,1.07641965010475,0.281739618108231,0.531087715514912
"ENSG00000008128.23",17.7487942464277,0.408845114515197,0.462202465538316,0.8845584889709,0.376394803692107,0.620447214189963
"ENSG00000268575.1",102.075368895306,-0.101161626240795,0.225216024597088,-0.449175969701857,0.653304720966148,0.821281082777082
